"행정구역(시군구)별",2020. 07,2020. 07,2020. 07
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명)
"종로구",150183,73214,76969
"중구",125970,61644,64326
"용산구",229432,110438,118994
"성동구",296896,145030,151866
"광진구",349258,168766,180492
"동대문구",345156,171134,174022
"중랑구",394293,195227,199066
"성북구",441188,213033,228155
"강북구",311198,151707,159491
"도봉구",328822,160465,168357
"노원구",527981,255127,272854
"은평구",481184,231384,249800
"서대문구",312264,149674,162590
"마포구",374036,176437,197599
"양천구",457543,224608,232935
"강서구",586279,283343,302936
"구로구",405260,200163,205097
"금천구",231939,117567,114372
"영등포구",374097,185156,188941
"동작구",394905,191063,203842
"관악구",499729,250825,248904
"서초구",428252,204766,223486
"강남구",540636,258624,282012
"송파구",671589,324307,347282
"강동구",457339,225170,232169
